time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	6.95324e-310	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.486824	0.390597	2.21949	-1.90333e-16	-3.24869e-17	radar	0.508637	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.17351	0.48124	8.6091	-0.00317477	-0.000356925	lidar	0.0639381	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.33743	0.536997	6.43118	0.135851	0.0221834	radar	0.169033	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.65232	0.615732	6.7707	0.197695	0.0774618	lidar	0.1059	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.91244	0.586089	5.39169	0.076266	-0.158916	radar	1.32113	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.18575	0.615367	5.38875	0.0933782	0.0262619	lidar	0.491893	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.42596	0.682187	5.21304	0.197846	0.583736	radar	2.66702	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.67142	0.721518	5.2036	0.196686	0.413493	lidar	1.44836	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.95664	0.672191	5.25065	0.00625199	-0.560078	radar	6.6726	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.16292	0.657974	5.16608	-0.0215064	-0.569876	lidar	10.6086	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44959	0.517397	5.2732	-0.255692	-1.31548	radar	20.9061	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74543	0.421829	5.34978	-0.360508	-1.44346	lidar	14.2565	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.0235	0.555163	5.296	-0.107471	-0.396373	radar	67.9993	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29235	0.534666	5.2987	-0.114932	-0.359022	lidar	0.92666	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.54616	0.603066	5.22568	-0.0183971	-0.035336	radar	17.4452	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.70672	0.657526	5.05134	0.0517207	0.169771	lidar	78.2399	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.95149	0.650352	5.02469	0.036332	0.102008	radar	2.34546	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27146	0.660033	5.1241	0.036543	0.0846409	lidar	26.1586	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54045	0.675602	5.17307	0.0483969	0.110231	radar	3.8247	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84637	0.694733	5.23987	0.0562295	0.113069	lidar	13.1702	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10647	0.552794	5.20855	-0.0996822	-0.324739	radar	43.7679	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.36368	0.639587	5.19962	0.000420384	-0.0123675	lidar	43.8716	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.61238	0.727179	5.16297	0.0854332	0.209147	radar	14.3215	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.85131	0.739914	5.13839	0.0867285	0.186277	lidar	2.32401	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.09322	0.696946	5.07378	0.0313306	0.0182201	radar	15.7191	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.30331	0.783264	5.01714	0.1122	0.226705	lidar	26.1991	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57143	0.793255	5.08233	0.102727	0.171286	radar	8.37491	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.82092	0.787744	5.07489	0.0798868	0.0918195	lidar	2.41223	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.06006	0.82307	5.02934	0.0988102	0.126519	radar	4.36961	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.29758	0.846553	5.01214	0.104364	0.125156	lidar	1.04361	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.54813	1.08361	5.0936	0.311462	0.620106	radar	81.7344	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.78346	1.12551	5.07718	0.30561	0.530861	lidar	3.52814	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.04486	1.14101	5.10451	0.263952	0.352172	radar	7.4737	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.28867	1.15348	5.08106	0.230239	0.230013	lidar	5.96535	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.53402	1.28607	5.13228	0.305929	0.374945	radar	13.271	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.8307	1.38438	5.21031	0.331269	0.386914	lidar	21.2899	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.0526	1.5349	5.18799	0.418123	0.563264	radar	7.85958	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.2892	1.57608	5.15314	0.38712	0.425526	lidar	7.70898	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.5087	1.67948	5.09868	0.427628	0.501927	radar	6.86536	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.7565	1.66236	5.04144	0.341514	0.245838	lidar	23.5097	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0272	1.6386	5.02977	0.247568	-0.0111706	radar	23.3803	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3421	1.65039	5.09237	0.188012	-0.145929	lidar	26.8223	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.5921	1.65625	5.05267	0.14564	-0.225856	radar	4.60473	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8265	1.71667	5.04294	0.159355	-0.168617	lidar	1.53783	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.0667	1.85925	5.08999	0.244779	0.0500049	radar	21.3315	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3216	1.86209	5.08058	0.193347	-0.0751581	lidar	3.60713	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.5861	1.87735	5.11224	0.155569	-0.158251	radar	4.32092	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
